"","region","supplysector","subsector","stub.technology","year","capacity.factor"
"483","NV","base load generation","wind","wind_base",2040,0.25
"484","NY","base load generation","wind","wind_base",2040,0.38
"485","OH","base load generation","wind","wind_base",2040,0.34
"486","OK","base load generation","wind","wind_base",2040,0.36
"487","OR","base load generation","wind","wind_base",2040,0.4
"488","PA","base load generation","wind","wind_base",2040,0.34
"489","RI","base load generation","wind","wind_base",2040,0.34
"490","SC","base load generation","wind","wind_base",2040,0.25
"491","SD","base load generation","wind","wind_base",2040,0.36
"492","TN","base load generation","wind","wind_base",2040,0.26
"493","TX","base load generation","wind","wind_base",2040,0.38
"494","UT","base load generation","wind","wind_base",2040,0.25
"495","VA","base load generation","wind","wind_base",2040,0.35
"496","VT","base load generation","wind","wind_base",2040,0.32
"497","WA","base load generation","wind","wind_base",2040,0.44
"498","WI","base load generation","wind","wind_base",2040,0.44
"499","WV","base load generation","wind","wind_base",2040,0.29
"500","WY","base load generation","wind","wind_base",2040,0.35
"501","AK","base load generation","wind","wind_base",2045,0.45
"502","AL","base load generation","wind","wind_base",2045,0.31
"503","AR","base load generation","wind","wind_base",2045,0.3
"504","AZ","base load generation","wind","wind_base",2045,0.26
"505","CA","base load generation","wind","wind_base",2045,0.44
"506","CO","base load generation","wind","wind_base",2045,0.34
"507","CT","base load generation","wind","wind_base",2045,0.44
"508","DE","base load generation","wind","wind_base",2045,0.33
"509","FL","base load generation","wind","wind_base",2045,0.38
"510","GA","base load generation","wind","wind_base",2045,0.24
"511","HI","base load generation","wind","wind_base",2045,0.29
"512","IA","base load generation","wind","wind_base",2045,0.33
"513","ID","base load generation","wind","wind_base",2045,0.26
"514","IL","base load generation","wind","wind_base",2045,0.38
"515","IN","base load generation","wind","wind_base",2045,0.32
"516","KS","base load generation","wind","wind_base",2045,0.35
"517","KY","base load generation","wind","wind_base",2045,0.26
"518","LA","base load generation","wind","wind_base",2045,0.41
"519","MA","base load generation","wind","wind_base",2045,0.44
"520","MD","base load generation","wind","wind_base",2045,0.37
"521","ME","base load generation","wind","wind_base",2045,0.41
"522","MI","base load generation","wind","wind_base",2045,0.45
"523","MN","base load generation","wind","wind_base",2045,0.45
"524","MO","base load generation","wind","wind_base",2045,0.31
"525","MS","base load generation","wind","wind_base",2045,0.27
"526","MT","base load generation","wind","wind_base",2045,0.36
"527","NC","base load generation","wind","wind_base",2045,0.35
"528","ND","base load generation","wind","wind_base",2045,0.34
